BrainFinance,"Montréal, QC•Temporarily Remote","$70,000 - $85,000 a year",Exploratory data analysis employing large data sets involving visualization and basic statistical techniques to develop intuitions and identify key variables in…,Posted30+ days ago,2021-11-24 21:16:36
Maya HTT,"Montréal, QC",vide,"Interacting with data engineering specialist to ensure data processing, cleansing, and verifying the integrity of data…",Posted21 days ago,2021-11-24 21:16:36
CorGTA Inc.,"Ottawa, ON•Remote","$85,000 - $95,000 a year",We currently have an opportunity for a full-time permanent Data Scientist working on Medical…,Posted19 days ago,2021-11-24 21:16:36
ASTEK Canada Inc.,"Montréal, QC•Remote","$60,000 a year",Personal Suitability Initiative Team player Excellent oral communication Excellent written communication Client focus Organized Workplace information Remote…,Posted19 days ago,2021-11-24 21:16:36
DRW,"Montréal, QC",vide,The ideal candidate is currently working towards a…,Posted30+ days ago,2021-11-24 21:16:36
Sporn Company of Canada,"Montréal, QC•Temporarily Remote",vide,Analyze data sets and identify trends and patterns;,Posted2 days ago,2021-11-24 21:16:36
Tiger Analytics Inc.,"Toronto, ON•Remote","$110,000 - $130,000 a year",Collect and document user's requirements.,Posted30 days ago,2021-11-24 21:16:36
Stratuscent,"Montréal, QC•Remote",vide,If you enjoy being part of a team that tackles a range of technical challenges…,Posted19 days ago,2021-11-24 21:16:36
D2L,+1 locationRemote,vide,Analyze data to help determine how to apply ML techniques…,Posted21 days ago,2021-11-24 21:16:36
Transcriptome Sciences Inc.,"Edmonton, AB•Remote","$105,000 - $120,000 a year","Design, construct, modify, implement and test data models and…",Posted1 day ago,2021-11-24 21:16:36
OROHealth,"Montréal, QC•Remote",vide,"But then, COVID happened and they were flooded with demands.",Posted15 days ago,2021-11-24 21:16:36
Desjardins,"Montréal, QC•Remote",vide,"As a data scientist, you provide the data needed to make business decisions, develop solutions and services adapted to business issues and understand member and…",Posted9 days ago,2021-11-24 21:16:36
Morgan Stanley,"Montréal, QC",vide,Be actively involved in the automation and streamlining of data workflows.,Posted29 days ago,2021-11-24 21:16:36
Sonder,"Montréal, QC",vide,The team creates and implements data-driven pricing strategies to optimize revenue and responsible for the ongoing development of our forecasting models.,Posted1 day ago,2021-11-24 21:16:36
Intact,"Montréal, QC+1 location•Remote",vide,"Please note that for positions with access to financial data or funds, your credit must be in good…",Posted12 days ago,2021-11-24 21:16:36
Société Générale,"Montréal, QC",vide,You are currently enrolled in a Master's degree or Bachelor degree with an IT specialization (software development or data science/analytics focus) and you are…,PostedToday,2021-11-24 21:16:37
Neoxia,"Montréal, QC","$55,000 - $65,000 a year","Au sein de la Data Factory de Neoxia, tu pourras intégrer une équipe pluridisciplinaire (Data Analysts, Data Scientists, Data Ops, Data Architect, Scrum Master,…",Posted30+ days ago,2021-11-24 21:16:37
Intact,"Quebec City, QC+1 location",vide,A multi-platform production experience with the following commercial and open-source data mining frameworks:,Posted11 days ago,2021-11-24 21:16:37
Rio Tinto,"Montréal, QC",vide,This will involve gaining substantial experience working with our data systems to develop state-of-the-art data science solutions for our business’s data…,Posted5 days ago,2021-11-24 21:16:37
Morgan Stanley,"Montréal, QC",vide,Interest in quantitative work and data analytics.,Posted30+ days ago,2021-11-24 21:16:37
FlexPay,"Montréal, QC•Remote",vide,You are capable of performing in depth analytics and testing while processing and modelling data.,Posted26 days ago,2021-11-24 21:16:37
SkyWatch,+1 locationRemote,vide,You have a solid understanding of data science tools…,Posted15 days ago,2021-11-24 21:16:37
"Analysis Group, Inc.","Montréal, QC",vide,"Using natural language processing methodologies to work with EMR data, social media data and other unstructured data.",Posted30+ days ago,2021-11-24 21:16:37
Intelcom Express,"Montréal, QC",vide,"Comprendre le problème de l'entreprise, identifier les principaux défis, formuler…",Posted30+ days ago,2021-11-24 21:16:37
Pelmorex Corp,Remote,vide,As a data scientist in our insights division you are expected to apply ML techniques and develop novel algorithms that are scalable and can run on our massive…,Posted30+ days ago,2021-11-24 21:16:37
Shift Technology,"Montréal, QC+1 location",vide,"Implementation of the data engineering, usually from client extracts to the insertion of the data in our data stores (SQL, ElasticSearch).",Posted30+ days ago,2021-11-24 21:16:37
sharethrough,"Montréal, QC+1 location•Remote",vide,Work with our data engineering team to make the data needed for your…,Posted30+ days ago,2021-11-24 21:16:37
Ericsson,"Saint-Laurent, QC",vide,Conduct studies and find creative usage of new and/or existing data sources.,Posted26 days ago,2021-11-24 21:16:37
agileDSS,"Montréal, QC•Temporarily Remote","$85,000 - $105,000 a year","Depuis 15 ans, nous accompagnons les grandes entreprises québécoises à tirer le meilleur parti de leurs données par le biais d’une expertise de pointe en…",Posted9 days ago,2021-11-24 21:16:37
MindGeek Careers,"Montréal, QC",vide,Professional experience: 1-3 years in a similar key…,Posted30+ days ago,2021-11-24 21:16:37
MindGeek Careers,"Montréal, QC",vide,Professional experience: 1-3 years in a similar key…,Posted30+ days ago,2021-11-24 21:16:39
Rizing,"Montréal, QC",vide,"As a data scientist, with experience in Business and People Analytics, you will be responsible helping Rizing and its clients shift to data-driven decision…",Posted30+ days ago,2021-11-24 21:16:39
Air Canada,"Dorval, QC",vide,We are looking for a data scientist that will help us discover the information hidden in…,Posted30+ days ago,2021-11-24 21:16:39
Microsoft,"Vancouver, BC",vide,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,Posted5 days ago,2021-11-24 21:16:39
Bombardier,"Dorval, QC",vide,"You have experience designing and implementing AI/data science algorithms/systems and managing the associated data by leveraging, connecting and…",Posted30+ days ago,2021-11-24 21:16:39
MHI RJ Aviation Canada,"Montréal, QC",vide,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,Posted30+ days ago,2021-11-24 21:16:39
McGill University,"Montréal, QC",$32.38 an hour,Grading of exams and other course components; consultation with course instructor; assistance in the preparation of…,PostedJust posted,2021-11-24 21:16:39
Fundmetric,"Halifax, NS","$100,000 - $150,000 a year","We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…",Posted7 days ago,2021-11-24 21:16:39
Microsoft,"Vancouver, BC",vide,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,Posted5 days ago,2021-11-24 21:16:39
Brain Finance,"Montréal, QC",vide,"Utilizing Apache Spark, Apache Kafka, and Apache Cassandra to develop scalable real-time and data…",Posted30+ days ago,2021-11-24 21:16:39
Farmers Edge,Canada,vide,Farmers Edge is a global leader in digital agriculture delivering cutting-edge solutions powered by a unique…,Posted9 days ago,2021-11-24 21:16:39
Shiny Platform Inc.,"Vancouver, BC•Remote",$28 - $35 an hour,Mapping and data visualization software.,Posted21 days ago,2021-11-24 21:16:39
Intelcom Express,"Montréal, QC",vide,"To support its technological transformation and enables data-driven decision, Intelcom is currently looking for a data scientist specialized in revenue…",Posted30+ days ago,2021-11-24 21:16:39
Morgan Stanley,"Montréal, QC",vide,"POSTING DATE: Oct 21, 2021.",Posted30+ days ago,2021-11-24 21:16:39
Unbounce,Remote,vide,We are looking for a Data Scientist to help us blaze some trails and lead our growing…,Posted30+ days ago,2021-11-24 21:16:39
Shopify,"Toronto, ON•Remote",vide,7-10 years of commercial experience in a data science role…,Posted1 day ago,2021-11-24 21:16:40
Nakisa,"Montréal, QC",vide,Experience with Finance and HR data.,Posted30+ days ago,2021-11-24 21:16:40
Lululemon,"Vancouver, BC",vide,Demonstrated experience applying machine learning and data mining techniques.,Posted22 days ago,2021-11-24 21:16:40
Ubisoft,"Montréal, QC",vide,Knowledge of data pipeline alerting and monitoring systems.,Posted26 days ago,2021-11-24 21:16:40
TD Bank,"Montréal, QC",vide,"Supporter l'équipe d'évaluation en investiguant les nouvelles techniques actuarielles de réserve (Modélisation de réserve de réclamation au niveau individuel,…",Posted14 days ago,2021-11-24 21:16:40
Morgan Stanley,"Montréal, QC",vide,Interest in quantitative work and data analytics.,Posted30+ days ago,2021-11-24 21:16:40
Deep Genomics,"Toronto, ON•Remote",vide,"The successful candidate will work in a multidisciplinary team of biologists and computational scientists, and take on tasks spanning analysis and visualization…",Posted30+ days ago,2021-11-24 21:16:40
sharethrough,"Montréal, QC+1 location•Remote",vide,"Analyze Sharethrough data to discover patterns, abnormalities, and…",Posted30+ days ago,2021-11-24 21:16:40
Stratuscent,"Montréal, QC•Remote",vide,If you enjoy being part of a team that tackles a range of technical challenges…,Posted19 days ago,2021-11-24 21:16:40
TD Bank,"Toronto, ON",vide,"Provide technical expertise across a broad range of data analysis functions including data modeling, visualization, data profiling, data origin and lineage,…",Posted30+ days ago,2021-11-24 21:16:40
Société Générale,"Montréal, QC",vide,You are currently enrolled in a Master's degree or Bachelor degree with an IT specialization (software development or data science/analytics focus) and you are…,PostedToday,2021-11-24 21:16:40
HomeStars,"Toronto, ON•Remote",vide,Strong understanding of data management concepts with the ability to translate business and analytics requirements into credible data requirements for Data…,Posted16 days ago,2021-11-24 21:16:40
MHI RJ Aviation Canada,"Montréal, QC",vide,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,Posted30+ days ago,2021-11-24 21:16:40
National Bank of Canada,"Montréal, QC",vide,"Find new internal and external data sources and new modeling techniques, such as artificial intelligence, to improve collection strategies.",Posted15 days ago,2021-11-24 21:16:40
Fusion Analytics,"Montréal, QC+11 locations•Remote",vide,"Job Types: Full-time, Permanent.",Posted1 day ago,2021-11-24 21:16:40
